objectid,title,filename,format,creator,date,datecreated,description,subject,location,latitude,longitude,source,type,rights,creativecommons,rightsnotes,citation,archivedpage
dana_doc_boardinterviews,Board of Forestry Interviews,dana_doc_boardinterviews.pdf,application/pdf,Oregon Dept. of Forestry,1989-04,1989-04,A collection of interviews with seven members of the Oregon State Board of Forestry.,Foresters; Logging,Salem (inhabited place),44.94379102,-123.0310297,"<a href=""https://digital.osl.state.or.us/islandora/object/osl:20226"" target=""_blank"">Forestry - State Library of Oregon</a>",Text,"<a href=""http://rightsstatements.org/vocab/CNE/1.0/"" target=""_blank"">Copyright Not Evaluated</a>",,,"""Oregon State Board of Forestry: personal interviews,"" Oregon Department of Forestry. 1989, Oregon State Library, Oregon. State Library of Oregon, Forestry, <a href='https://digital.osl.state.or.us/islandora/object/osl:20226' target='_blank'>https://digital.osl.state.or.us/islandora/object/osl:20226</a>","<a href=""https://web.archive.org/web/20230521223507/https://digital.osl.state.or.us/islandora/object/osl:20226"" target=""_blank"">Archived Page</a>"
dana_image_bensoncampcrew_001,Crew at Benson Camp,dana_image_bensoncampcrew_001.jpg,image/jpeg,John Fletcher Ford,1904,1904,A logging crew poses across railroad tracks between buildings at Benson Camp. Handwriting at the bottom of the photo includes location and date.,Logging; Logging railroads; Workers; Lumber camps,Clatskanie (inhabited place),46.10423507,-123.204041,"<a href=""https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/47"" target=""_blank"">Industries and Occupations Photographs - University of Washington Digital Collection</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Logging crew, Benson Camp, Clatskanie, Oregon, 1904,"" John Fletcher Ford. 1904, University of Washington, Washington. University of Washington Digital Collection, Industries and Occupations Photographs, <a href='https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/47' target='_blank'>https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/47</a>","<a href=""https://web.archive.org/web/20230521223608/https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/47"" target=""_blank"">Archived Page</a>"
dana_image_bensoncamptrain_002,Crew with Train at Benson Camp,dana_image_bensoncamptrain_002.jpg,image/jpeg,John Fletcher Ford,1904,1904,A logging crew poses on a slope amongst logs at Benson Camp. A train engine with a driver sits behind them. Handwriting at the bottom of the photo includes location and date.,Logging; Logging railroads; Workers; Lumber camps; Railroad trains,Clatskanie (inhabited place),46.10423507,-123.204041,"<a href=""https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/376"" target=""_blank"">Industries and Occupations Photographs - University of Washington Digital Collection</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Logging crew and railroad, Benson Camp, Clatskanie, Oregon, 1904,"" John Fletcher Ford. 1904, University of Washington, Washington. University of Washington Digital Collections, Industries and Occupations Photographs, <a href='https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/376' target='_blank'>https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/376</a>","<a href=""https://web.archive.org/web/20230521224156/https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/376"" target=""_blank"">Archived Page</a>"
dana_image_bridalveilcamp,Bridal Veil Camp,dana_image_bridalveilcamp.jpg,image/jpeg,Unknown,1897,1897,"A photo of workers, oxen, wooden buildings, and felled trees at Bridal Veil Camp. The photo is somewhat blurred. The Bridal Veil Lumbering Company logged on Larch Mountain and milled timber in the company towns of Palmer and Bridal Veil from 1886-1936.",Logging; Workers; Lumber camps; Animals in logging,Bridal Veil (inhabited place),45.57002126,-122.1775638,"<a href=""https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/736"" target=""_blank"">Industries and Occupations Photographs - University of Washington Digital Collection</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Logging camp near Bridal Veil, Oregon, 1897,"" Unknown. 1897, University of Washington, Washington. University of Washington Digital Collections, Industries and Occupations Photographs, <a href='https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/736' target='_blank'>https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/736</a>","<a href=""https://web.archive.org/web/20230521225310/https://cdm16786.contentdm.oclc.org/digital/collection/indocc/id/736"" target=""_blank"">Archived Page</a>"
dana_image_curtistrain,Curtis Lumber Company Train,dana_image_curtistrain.jpg,image/jpeg,Unknown,1908,1908,"A Curtis Lumber Company logging train moves through the snow near Mill City, Oregon. Several men stand on the train. Handwriting at the bottom of the photo includes the date, location, and company.",Logging; Logging railroads; Railroad trains; Workers,Mill City (inhabited place),44.75439129,-122.4780116,"<a href=""https://content.libraries.wsu.edu/digital/collection/cchm_photo/id/5720"" target=""_blank"">Clark County Historical Museum Photographs Collection - WSU Vancouver Library - Digital Collections</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Curtis Lumber Company Logging Train,"" Unknown. 1908, Washington State University Vancouver Library, Washington. WSU Vancouver Library - Digital Collections, Clark County Historical Museum Photographs Collection, <a href='https://content.libraries.wsu.edu/digital/collection/cchm_photo/id/5720' target='_blank'>https://content.libraries.wsu.edu/digital/collection/cchm_photo/id/5720</a>","<a href=""https://web.archive.org/web/20230521225716/https://content.libraries.wsu.edu/digital/collection/cchm_photo/id/5720"" target=""_blank"">Archived Page</a>"
dana_image_loggingclackamas,Logging Near Clackamas,dana_image_loggingclackamas.jpg,image/jpeg,Unknown,1910,1910,"A group of loggers stand on logs and pose for a postcard photo. There are many fallen logs around them, some with tools stuck in them. Two horses stand near the workers. Handwriting at the bottom of the postcard reads ""Logging near Clackamas, Ore. taken 1910.""",Logging; Workers; Animals in logging; Postcard; Forests and forestry—Equipment and supplies,Clackamas (inhabited place),45.40970044,-122.5523066,"<a href=""https://digitalcollections.ohs.org/logging-near-clackamas-oregon"" target=""_blank"">Spokane, Portland, and Seattle Railway Photographs - Oregon Historical Society Digital Collections</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Logging near Clackamas, Oregon,"" Unknown. 1910, The Oregon Historical Society, Oregon. Oregon Historical Society Digital Collections, Spokane, Portland, and Seattle Railway Photographs, <a href='https://digitalcollections.ohs.org/logging-near-clackamas-oregon' target='_blank'>https://digitalcollections.ohs.org/logging-near-clackamas-oregon</a>","<a href=""https://web.archive.org/web/20230521225830/https://digitalcollections.ohs.org/logging-near-clackamas-oregon"" target=""_blank"">Archived Page</a>"
dana_image_rivinglogs,Riving Logs,dana_image_rivinglogs.jpg,image/jpeg,Unknown,1918-09-24,1918-09-24,"Six men split a spruce log using wooden wedges and jacks. They use fiber cutting irons for the wood's strong grain. At the bottom of the photo it says ""Warren Spruce Co., Portland, Ore.""",Logging; Forests and forestry—Equipment and supplies; Workers; Conifers,Lincoln (county),44.63508456,-124.0540558,"<a href=""https://catalog.archives.gov/id/31490021"" target=""_blank"">American Unofficial Collection of World War I Photographs - National Archives Catalogue</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Industries of War - Lumber - Riving Logs in Oregon Forest,"" Unknown. 1918, U.S. National Archives and Records Administration, Maryland. National Archives Catalog, American Unofficial Collection of World War I Photographs, <a href='https://catalog.archives.gov/id/31490021' target='_blank'>https://catalog.archives.gov/id/31490021</a>","<a href=""https://web.archive.org/web/20230521225950/https://catalog.archives.gov/id/31490021"" target=""_blank"">Archived Page</a>"
dana_map_clatsopcounty,Map of Northwestern Clatsop County,dana_map_clatsopcounty.jpg,image/jpeg,Richard Park,1909-08,1909-08,"The map includes locations such as Blind Slough, Big Creek, Knappa Post Office, and an unnamed logging camp. At the bottom right of the map is an assesment of the roads, railroads, bridges, soil, and water quality. The surveyor also notes the location of a telegraph and that the timber in the area is mainly fir. Locations have labels like swampy, brush, virgin timber, and second growth.",Forests and forestry—Maps; Logging railroads; Conifers; Lumber camps,Clatsop (county),46.19205626,-123.5572068,"<a href=""https://catalog.archives.gov/id/148719479"" target=""_blank"">War Department Map Collection - National Archives Catalogue</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Topographical Map of Oregon Showing Hills with Timber, Logging Camps, Knappa Post Office, and a Rail Road,"" Richard Park. 1909, U.S. National Archives and Records Administration, Maryland. National Archives Catalogue, War Department Map Collection, <a href='https://catalog.archives.gov/id/148719479' target='_blank'>https://catalog.archives.gov/id/148719479</a>","<a href=""https://web.archive.org/web/20230521230352/https://catalog.archives.gov/id/148719479"" target=""_blank"">Archived Page</a>"
dana_map_columbiacounty,Map of Northern Columbia County,dana_map_columbiacounty.jpg,image/jpeg,Richard Park,1909-08,1909-08,"The map includes locations such as Delena, the Columbia River, Rinearson Slough, Beaver Creek, South Beaver Creek, Wilson Lumber Company, Portland Lumber Company, Kyser Post Office, and Hudson Post Office. At the top left of the map is an assesment of roads, railroads, bridges, streams, soil, and water quality. Locations have labels like burned, cleared, brush, dense brush, virgin timber, and second growth.",Forests and forestry—Maps; Logging railroads,Columbia (county),46.08966642,-123.0857314,"<a href=""https://catalog.archives.gov/id/148719523"" target=""_blank"">War Department Map Collection - National Archives Catalogue</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",<a href=”https://creativecommons.org/publicdomain/mark/1.0/” target=”_blank”>Creative Commons Public Domain Mark 1.0</a>,,"""Topographical Map of Oregon Showing South Beaver Creek, the Columbia River, and Logging Railroads,"" Richard Park. 1909, U.S. National Archives and Records Administration, Maryland. National Archives Catalogue, War Department Map Collection, <a href='https://catalog.archives.gov/id/148719523' target='_blank'>https://catalog.archives.gov/id/148719523</a>","<a href=""https://web.archive.org/web/20230521230231/https://catalog.archives.gov/id/148719523"" target=""_blank"">Archived Page</a>"
perez_audio_oralhistoryinterview,Oral history interview with Richard F. Smith [Sound Recording 01],perez_audio_oralhistoryinterview.mp3,audio/mp3,Richard F. Smith,1978-09-20,1978-09-20,An audio recording of an interview conducted by Charles Digregorio interviewing Richard F. Smith where he discusses his invovlement in the forestry industry in Oregon and other states.,Workers; Foresters; Forestry schools and education,Sandy (inhabited place),45.3973141,-122.2630704,"<a href=""https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01"" target=""_blank"">Oral history interview with Richard F. Smith - The Oregon Historical Society Digital Collections</a>",Sound,"<a href=""http://rightsstatements.org/vocab/InC-NC/1.0/""target=""_blank"">In Copyright - Non-Commercial Use Permitted<a/>","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/"" target=""_blank"">Creative Commons BY-NC-SA</a>",Copyright for this interview is held by the Oregon Historical Society,"""Oral history interview with Richard F. Smith [Sound Recording 01],"" Richard F. Smith. 1978, Oregon Historical Society Library, Oregon. The Oregon Historical Society Digital Collections, Oral history interview with Richard F. Smith, <a href='https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01' target='_blank'>https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01</a>","<a href=""https://web.archive.org/web/20230521231956/https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01"" target=""_blank"">Archived Page</a>"
